"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","damsasp:boxSequence","damsasp:department","damsasp:library","damsasp:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion","damsasp:mcdfNumber","damsasp:trustNumber","damsasp:year"
788541,"GMD009814.pdf","GMD009814.pdf","CapitalMarkets","02_Transaction Initiation Letter","CapitalMarkets","","2010-159_02_Transaction Initiation Letter","","Capital Markets","","02_Transaction Initiation Letter","","GMD009814","1","MCDF-0082-0757","2010-159",2010
416542,"GMD009822.pdf","GMD009822.pdf","CapitalMarkets","02_Transaction Initiation Letter","CapitalMarkets","","2010-160_02_Transaction Initiation Letter","","Capital Markets","","02_Transaction Initiation Letter","","GMD009822","1","MCDF-0082-0959","2010-160",2010
497476,"GMD009830.pdf","GMD009830.pdf","CapitalMarkets","02_Transaction Initiation Letter","CapitalMarkets","","2010-161_02_Transaction Initiation Letter","","Capital Markets","","02_Transaction Initiation Letter","","GMD009830","1","MCDF-0082-1430","2010-161",2010
453569,"GMD009838.pdf","GMD009838.pdf","CapitalMarkets","02_Transaction Initiation Letter","CapitalMarkets","","2010-162_02_Transaction Initiation Letter.pdf","","Capital Markets","","02_Transaction Initiation Letter","","GMD009838","1","MCDF-0082-1623","2010-162",2010
390289,"GMD009846.pdf","GMD009846.pdf","CapitalMarkets","02_Transaction Initiation Letter","CapitalMarkets","","2010-163_02_Transaction Initiation Letter.pdf","","Capital Markets","","02_Transaction Initiation Letter","","GMD009846","1","MCDF-0082-2175","2010-163",2010
443239,"GMD009854.pdf","GMD009854.pdf","CapitalMarkets","02_Transaction Initiation Letter","CapitalMarkets","","2010-164_02_Transaction Initiation Letter.pdf","","Capital Markets","","02_Transaction Initiation Letter","","GMD009854","1","MCDF-0082-2665","2010-164",2010
478275,"GMD009862.pdf","GMD009862.pdf","CapitalMarkets","02_Transaction Initiation Letter","CapitalMarkets","","2010-165_02_Transaction Initiation Letter","","Capital Markets","","02_Transaction Initiation Letter","","GMD009862","1","MCDF-0082-3189","2010-165",2010
8648345,"GMD009868.pdf","GMD009868.pdf","CapitalMarkets","02_Transaction Initiation Letter","CapitalMarkets","","2010-165_02_Transaction Initiation Letter_V1.pdf","","Capital Markets","","02_Transaction Initiation Letter","","GMD009868","1","MCDF-0082-3264","2010-165",2010
349123,"GMD009870.pdf","GMD009870.pdf","CapitalMarkets","02_Transaction Initiation Letter","CapitalMarkets","","2010-166_02_Transaction Initiation Letter","","Capital Markets","","02_Transaction Initiation Letter","","GMD009870","1","MCDF-0082-3473","2010-166",2010
552133,"GMD009878.pdf","GMD009878.pdf","CapitalMarkets","02_Transaction Initiation Letter","CapitalMarkets","","2010-167_02_Transaction Initiation Letter","","Capital Markets","","02_Transaction Initiation Letter","","GMD009878","1","MCDF-0083-0022","2010-167",2010
727616,"GMD009886.pdf","GMD009886.pdf","CapitalMarkets","02_Transaction Initiation Letter","CapitalMarkets","","2010-168_02_Transaction Initiation Letter","","Capital Markets","","02_Transaction Initiation Letter","","GMD009886","1","MCDF-0083-1451","2010-168",2010
15973554,"GMD009892.pdf","GMD009892.pdf","CapitalMarkets","02_Transaction Initiation Letter","CapitalMarkets","","2010-168_02_Transaction Initiation Letter_V1","","Capital Markets","","02_Transaction Initiation Letter","","GMD009892","1","MCDF-0083-1678","2010-168",2010
585257,"GMD009894.pdf","GMD009894.pdf","CapitalMarkets","02_Transaction Initiation Letter","CapitalMarkets","","2010-169_02_Transaction Initiation Letter","","Capital Markets","","02_Transaction Initiation Letter","","GMD009894","1","MCDF-0083-2048","2010-169",2010
