DFILESIZE,load,file,filename,siteid,uploaddirectory,contenttype,containerid,overwrite,majorversion,damsasp:extDocSource,damsasp:extDocId,,damsasp:extDocVersion,apm:apmNumber,apm:apmYear,apm:beginningBatesNumber,apm:endingBatesNumber,apm:startImage,apm:endImage,,remiccd:subtype,remiccd:sponsor,remiccd:dealNumber,,oipmroot:issuerName,oipmroot:issuerNumber
1885517,TRUE,dams_sample.pdf,GMD030030.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030030,,,,,,,,,,,,,,Bank of Melon NY,260
1761270,TRUE,dams_sample.pdf,GMD029805.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD029805,,,,,,,,,,,,,,Bank of Melon NY,270
1375318,TRUE,dams_sample.pdf,GMD029809.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD029809,,,,,,,,,,,,,,Bank of Melon NY,280
2310394,TRUE,dams_sample.pdf,GMD029813.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD029813,,,,,,,,,,,,,,Bank of Melon NY,290
2365236,TRUE,dams_sample.pdf,GMD029817.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD029817,,,,,,,,,,,,,,Bank of Melon NY,300
1417102,TRUE,dams_sample.pdf,GMD029821.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD029821,,,,,,,,,,,,,,Bank of Melon NY,310
912177,TRUE,dams_sample.pdf,GMD029825.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD029825,,,,,,,,,,,,,,Bank of Melon NY,320
1569667,TRUE,dams_sample.pdf,GMD029829.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD029829,,,,,,,,,,,,,,Bank of Melon NY,330
1848103,TRUE,dams_sample.pdf,GMD029833.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD029833,,,,,,,,,,,,,,Bank of Melon NY,340
1440499,TRUE,dams_sample.pdf,GMD029837.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD029837,,,,,,,,,,,,,,Bank of Melon NY,350
2153874,TRUE,dams_sample.pdf,GMD030089.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030089,,,,,,,,,,,,,,Bank of Melon NY,530
1801179,TRUE,dams_sample.pdf,GMD030093.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030093,,,,,,,,,,,,,,Bank of Melon NY,540
2436978,TRUE,dams_sample.pdf,GMD030097.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030097,,,,,,,,,,,,,,Bank of Melon NY,550
2084209,TRUE,dams_sample.pdf,GMD030101.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030101,,,,,,,,,,,,,,Bank of Melon NY,560
1033202,TRUE,dams_sample.pdf,GMD030105.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030105,,,,,,,,,,,,,,Bank of Melon NY,570
2416172,TRUE,dams_sample.pdf,GMD030109.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030109,,,,,,,,,,,,,,Bank of Melon NY,580
2458742,TRUE,dams_sample.pdf,GMD029845.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD029845,,,,,,,,,,,,,,Bank of Melon NY,590
4637081,TRUE,dams_sample.pdf,GMD030513.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030513,,,,,,,,,,,,,,Bank of Melon NY,600
1948224,TRUE,dams_sample.pdf,GMD030517.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030517,,,,,,,,,,,,,,Bank of Melon NY,610
3982078,TRUE,dams_sample.pdf,GMD030519.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030519,,,,,,,,,,,,,,Bank of Melon NY,620
2147079,TRUE,dams_sample.pdf,GMD030521.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030521,,,,,,,,,,,,,,Bank of Melon NY,630
3629997,TRUE,dams_sample.pdf,GMD030532.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030532,,,,,,,,,,,,,,Bank of Melon NY,640
1094479,TRUE,dams_sample.pdf,GMD030536.pdf,oipm,Manufactured Housing/Manufactured Homes Historical Documents,mhdoc:mhDocuments,,,,,GMD030536,,,,,,,,,,,,,,Bank of Melon NY,650
