file,filename,siteid,uploaddirectory,contenttype,containerid,oipmroot:issuerNumber,oipmroot:issuerName,damsasp:extDocSource
OIP00118_4100_BOGMAN INC.pdf,OIP00118_4100_BOGMAN INC.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4100,BOGMAN INC,Other
OIP00119_4100_BOGMAN INC.pdf,OIP00119_4100_BOGMAN INC.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4100,BOGMAN INC,Other
OIP00120_4101_GREATER NAVADA LLC.pdf,OIP00120_4101_GREATER NAVADA LLC.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4101,GREATER NAVADA LLC,Other
OIP00121_4102_THE MONEY SOURCE.pdf,OIP00121_4102_THE MONEY SOURCE.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4102,THE MONEY SOURCE,Other
OIP00122_4103_FIRST FEDERAL SAVINGS.pdf,OIP00122_4103_FIRST FEDERAL SAVINGS.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4103,FIRST FEDERAL SAVINGS,Other
OIP00123_4104_PRIMELENDING.pdf,OIP00123_4104_PRIMELENDING.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4104,PRIMELENDING,Other
OIP00124_3608_MIDLAND MORTGAGE INVESTMENT.pdf,OIP00124_3608_MIDLAND MORTGAGE INVESTMENT.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3608,MIDLAND MORTGAGE INVESTMENT,Other
OIP00125_3609_FIRST FINANCIAL BANK.pdf,OIP00125_3609_FIRST FINANCIAL BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3609,FIRST FINANCIAL BANK,Other
"OIP00126_3613_FGFC MORTGAGE BANKERS, INC.pdf","OIP00126_3613_FGFC MORTGAGE BANKERS, INC.pdf",ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3613,"FGFC MORTGAGE BANKERS, INC",Other
OIP00127_3615_PEOPLES FIRST FINANCIAL AND LOAN.pdf,OIP00127_3615_PEOPLES FIRST FINANCIAL AND LOAN.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3615,PEOPLES FIRST FINANCIAL AND LOAN,Other
"OIP00128_3616_CONTINENTAL MORTGAGE BANKERS, INC.pdf","OIP00128_3616_CONTINENTAL MORTGAGE BANKERS, INC.pdf",ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3616,"CONTINENTAL MORTGAGE BANKERS, INC",Other
"OIP00129_3616_CONTINENTAL MORTGAGE BANKERS, INC.pdf","OIP00129_3616_CONTINENTAL MORTGAGE BANKERS, INC.pdf",ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3616,"CONTINENTAL MORTGAGE BANKERS, INC",Other
"OIP00130_3617_SIWELL, INC.pdf","OIP00130_3617_SIWELL, INC.pdf",ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3617,"SIWELL, INC",Other
OIP00131_3623_PRINCIPAL RESIDENTIAL.pdf,OIP00131_3623_PRINCIPAL RESIDENTIAL.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3623,PRINCIPAL RESIDENTIAL,Other
OIP00132_3628_GEORGIA HOUSING.pdf,OIP00132_3628_GEORGIA HOUSING.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3628,GEORGIA HOUSING,Other
